,Location,FIPS,Category,"% Change in Mortality Rate, 1980-201",1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,Premium
193,Florida,12,Digestive diseases,-35.77,16.88,15.84,14.62,13.93,13.0,12.15,11.17,10.84,9.59,8.71,Decrease
194,Florida,12,Chronic respiratory diseases,26.27,37.88,39.33,40.73,46.27,48.92,49.31,48.35,47.83,52.5,54.2,Increase
195,Florida,12,Neurological disorders,8.65,73.18,73.38,71.04,76.97,81.44,83.67,83.06,79.52,85.02,86.63,Increase
196,Florida,12,Cirrhosis and other chronic liver diseases,-14.25,20.64,18.92,16.77,15.99,15.98,17.03,17.93,17.7,16.29,16.0,Decrease
197,Florida,12,Mental and substance use disorders,153.81,5.47,4.92,5.54,5.88,8.62,13.31,15.39,13.88,16.48,18.11,Increase
198,Florida,12,"Forces of nature, war, and legal intervention",-84.86,0.27,0.24,0.22,0.16,0.19,0.86,0.18,0.04,0.27,0.27,Increase
199,Florida,12,Unintentional injuries,-10.26,19.7,17.71,16.01,15.62,15.76,17.41,17.6,17.68,16.63,16.51,Decrease
200,Florida,12,Nutritional deficiencies,-50.05,1.4,1.28,1.17,1.21,1.16,0.85,0.72,0.7,0.59,0.49,Decrease
201,Florida,12,"Other communicable, maternal, neonatal, and nutritional diseases",-47.42,2.43,2.48,2.56,2.87,3.15,1.91,1.33,1.28,1.42,1.24,Decrease
202,Florida,12,Cardiovascular diseases,-48.5,448.93,418.11,366.53,346.92,317.3,271.51,234.72,231.2,181.77,148.97,Decrease
203,Florida,12,"Diarrhea, lower respiratory, and other common infectious diseases",-26.95,27.59,26.65,25.38,25.63,24.22,21.98,20.43,20.16,18.93,17.8,Decrease
204,Florida,12,Maternal disorders,-6.98,0.43,0.33,0.25,0.18,0.22,0.32,0.41,0.4,0.34,0.35,Increase
205,Florida,12,Other non-communicable diseases,-47.44,9.35,8.54,7.83,6.74,5.95,5.55,5.1,4.91,3.75,3.09,Decrease
206,Florida,12,Self-harm and interpersonal violence,-34.68,33.11,29.99,27.51,24.35,21.66,21.68,21.97,21.63,17.7,16.03,Decrease
207,Florida,12,Neoplasms,-20.8,232.02,227.96,222.7,221.7,208.37,196.93,185.79,183.76,175.65,168.04,Decrease
208,Florida,12,Transport injuries,-50.79,31.96,27.31,24.01,21.98,21.63,21.34,16.83,15.73,13.26,11.18,Decrease
209,Florida,12,Neglected tropical diseases and malaria,-15.76,0.03,0.02,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.02,Increase
210,Georgia,13,Neonatal disorders,-62.66,11.75,8.8,7.74,6.01,5.83,5.67,4.9,4.39,2.74,1.82,Decrease
211,Georgia,13,HIV/AIDS and tuberculosis,176.57,1.67,3.45,14.2,21.73,9.17,7.46,5.2,4.61,8.25,8.21,Decrease
212,Georgia,13,Musculoskeletal disorders,-10.58,3.29,3.26,3.3,3.54,3.76,3.5,3.05,2.94,3.19,3.15,Decrease
213,Georgia,13,"Diabetes, urogenital, blood, and endocrine diseases",16.29,55.18,55.72,56.64,62.11,67.98,69.05,66.0,64.17,70.54,72.41,Increase
214,Georgia,13,Digestive diseases,-37.68,24.47,23.08,21.12,20.17,18.91,17.6,15.99,15.25,13.58,12.25,Decrease
215,Georgia,13,Chronic respiratory diseases,41.45,43.81,46.84,49.36,55.45,61.51,62.82,62.07,61.96,68.85,71.82,Increase
216,Georgia,13,Neurological disorders,30.49,87.39,91.35,93.42,99.01,106.85,110.51,111.4,114.04,120.28,124.4,Increase
217,Georgia,13,Cirrhosis and other chronic liver diseases,-20.29,21.07,19.36,17.25,16.08,15.77,16.63,17.12,16.8,15.19,14.68,Decrease
218,Georgia,13,Mental and substance use disorders,72.33,7.33,6.93,7.06,6.94,8.08,10.52,12.44,12.63,13.07,13.98,Increase
219,Georgia,13,"Forces of nature, war, and legal intervention",-81.7,0.31,0.31,0.22,0.2,0.27,1.27,0.26,0.06,0.43,0.44,Increase
220,Georgia,13,Unintentional injuries,-37.04,33.18,28.45,24.62,23.0,22.35,22.39,21.63,20.89,17.74,16.22,Decrease
221,Georgia,13,Nutritional deficiencies,-18.28,2.24,2.3,2.33,2.57,2.65,2.04,1.79,1.83,1.89,1.81,Decrease
222,Georgia,13,"Other communicable, maternal, neonatal, and nutritional diseases",-28.35,1.94,2.12,2.46,2.88,3.08,2.01,1.4,1.39,1.7,1.6,Decrease
223,Georgia,13,Cardiovascular diseases,-49.04,540.61,498.8,436.8,411.43,380.53,326.03,283.53,275.49,217.61,178.38,Decrease
224,Georgia,13,"Diarrhea, lower respiratory, and other common infectious diseases",-14.06,44.23,44.44,45.4,46.08,46.3,41.65,38.92,38.01,38.73,37.75,Decrease
225,Georgia,13,Maternal disorders,36.91,0.37,0.33,0.33,0.28,0.31,0.44,0.51,0.51,0.51,0.53,Increase
226,Georgia,13,Other non-communicable diseases,-39.99,12.01,11.22,10.36,9.18,8.28,7.86,7.34,7.21,5.89,5.16,Decrease
227,Georgia,13,Self-harm and interpersonal violence,-34.15,31.48,28.41,26.97,23.96,21.26,21.14,20.79,20.73,17.19,15.6,Decrease
228,Georgia,13,Neoplasms,-16.14,242.65,242.27,238.72,239.89,228.23,216.93,204.6,203.48,198.19,191.77,Decrease
229,Georgia,13,Transport injuries,-45.3,31.22,27.65,25.86,23.78,23.2,22.26,18.1,17.08,15.17,13.29,Decrease
230,Georgia,13,Neglected tropical diseases and malaria,-14.55,0.04,0.04,0.03,0.02,0.02,0.04,0.04,0.04,0.04,0.04,Increase
231,Hawaii,15,Neonatal disorders,-59.62,8.03,6.16,5.39,4.23,4.05,3.99,3.5,3.24,2.08,1.47,Decrease
232,Hawaii,15,HIV/AIDS and tuberculosis,-44.3,2.34,2.74,7.83,11.44,3.55,2.6,1.67,1.31,2.25,1.82,Decrease
233,Hawaii,15,Musculoskeletal disorders,-11.61,2.54,2.51,2.53,2.75,2.98,2.69,2.29,2.24,2.43,2.4,Decrease
234,Hawaii,15,"Diabetes, urogenital, blood, and endocrine diseases",7.49,39.86,39.45,39.87,41.94,43.14,43.66,43.28,42.85,44.58,45.2,Increase
235,Hawaii,15,Digestive diseases,-23.35,14.05,13.68,12.9,12.83,12.18,11.53,10.93,10.77,10.14,9.64,Decrease
236,Hawaii,15,Chronic respiratory diseases,-10.64,31.07,31.47,31.33,33.53,33.13,30.91,28.82,27.76,28.96,28.51,Decrease
237,Hawaii,15,Neurological disorders,5.55,79.71,77.94,76.06,68.7,73.43,77.35,77.9,84.14,79.02,79.48,Increase
238,Hawaii,15,Cirrhosis and other chronic liver diseases,1.53,14.18,13.81,12.9,12.69,13.1,14.05,14.47,14.4,14.17,14.27,Increase
239,Hawaii,15,Mental and substance use disorders,446.69,1.81,2.1,2.34,3.78,4.25,8.0,9.61,9.87,11.19,12.52,Increase
240,Hawaii,15,"Forces of nature, war, and legal intervention",-66.41,0.13,0.14,0.1,0.11,0.17,0.62,0.17,0.04,0.25,0.26,Increase
241,Hawaii,15,Unintentional injuries,-20.55,21.73,19.43,17.64,17.74,18.09,18.7,17.83,17.26,16.64,16.21,Decrease
242,Hawaii,15,Nutritional deficiencies,-46.19,1.67,1.7,1.49,1.54,1.5,1.11,0.94,0.9,0.8,0.68,Decrease
243,Hawaii,15,"Other communicable, maternal, neonatal, and nutritional diseases",-26.08,1.89,2.0,2.35,2.93,3.17,2.08,1.46,1.4,1.8,1.72,Decrease
244,Hawaii,15,Cardiovascular diseases,-42.86,360.23,336.95,306.53,292.08,263.7,226.97,199.47,205.85,164.95,140.72,Decrease
245,Hawaii,15,"Diarrhea, lower respiratory, and other common infectious diseases",-6.85,34.81,37.3,37.58,37.78,32.48,29.16,29.05,32.43,29.08,28.03,Decrease
246,Hawaii,15,Maternal disorders,98.44,0.15,0.15,0.2,0.22,0.21,0.27,0.29,0.3,0.33,0.35,Increase
247,Hawaii,15,Other non-communicable diseases,-37.62,8.16,7.63,7.26,6.49,6.0,5.7,5.21,5.09,4.37,3.9,Decrease
248,Hawaii,15,Self-harm and interpersonal violence,-10.98,19.81,17.56,17.59,18.19,16.6,16.12,17.52,17.64,16.48,16.23,Decrease
249,Hawaii,15,Neoplasms,-14.22,194.53,194.63,189.72,191.18,178.49,172.55,163.43,166.86,159.25,154.32,Decrease
250,Hawaii,15,Transport injuries,-51.58,19.6,16.45,15.87,14.75,13.49,12.97,10.42,9.49,8.19,6.87,Decrease
251,Hawaii,15,Neglected tropical diseases and malaria,-86.46,0.25,0.14,0.07,0.04,0.04,0.06,0.04,0.03,-0.03,-0.05,Decrease
252,Idaho,16,Neonatal disorders,-65.58,7.45,5.53,4.73,3.62,3.58,3.54,2.91,2.57,1.52,0.91,Decrease
253,Idaho,16,HIV/AIDS and tuberculosis,-17.34,0.64,0.81,3.19,5.34,1.42,1.11,0.67,0.53,1.09,0.95,Decrease
254,Idaho,16,Musculoskeletal disorders,35.99,3.33,3.57,3.88,4.42,5.08,4.98,4.51,4.53,5.2,5.4,Increase
255,Idaho,16,"Diabetes, urogenital, blood, and endocrine diseases",50.26,35.84,37.69,40.42,45.33,51.1,53.79,53.01,53.85,59.69,62.65,Increase
256,Idaho,16,Digestive diseases,-18.97,20.42,20.16,19.29,18.96,18.58,17.88,16.77,16.55,15.97,15.39,Decrease
257,Idaho,16,Chronic respiratory diseases,20.79,48.51,50.59,52.22,56.76,61.5,61.44,58.8,58.6,63.77,65.49,Increase
258,Idaho,16,Neurological disorders,0.38,106.34,103.81,100.78,102.84,107.0,110.0,108.51,106.75,108.87,109.56,Increase
259,Idaho,16,Cirrhosis and other chronic liver diseases,23.45,13.77,13.46,12.97,12.87,13.46,14.93,16.26,17.0,16.65,17.16,Increase
260,Idaho,16,Mental and substance use disorders,202.44,3.69,3.7,4.25,4.86,6.08,8.51,10.55,11.17,11.99,13.19,Increase
261,Idaho,16,"Forces of nature, war, and legal intervention",-74.03,0.33,0.37,0.31,0.28,0.33,1.52,0.4,0.09,0.57,0.59,Increase
262,Idaho,16,Unintentional injuries,-14.13,26.89,24.63,23.05,22.34,21.91,22.99,23.09,23.09,21.63,21.21,Decrease
263,Idaho,16,Nutritional deficiencies,-26.37,1.93,1.98,1.92,2.06,2.11,1.64,1.41,1.42,1.42,1.34,Decrease
264,Idaho,16,"Other communicable, maternal, neonatal, and nutritional diseases",-10.97,1.36,1.55,2.01,2.6,2.65,1.79,1.22,1.21,1.62,1.58,Decrease
265,Idaho,16,Cardiovascular diseases,-44.66,418.32,390.66,344.79,325.57,304.66,264.78,231.93,231.48,187.46,159.34,Decrease
266,Idaho,16,"Diarrhea, lower respiratory, and other common infectious diseases",-41.93,38.9,37.84,36.71,36.06,32.39,27.85,23.78,22.59,20.51,17.96,Decrease
267,Idaho,16,Maternal disorders,96.13,0.17,0.17,0.25,0.3,0.27,0.35,0.34,0.34,0.4,0.42,Increase
268,Idaho,16,Other non-communicable diseases,-28.47,8.99,8.54,8.3,7.38,6.95,6.84,6.46,6.43,5.71,5.32,Decrease
269,Idaho,16,Self-harm and interpersonal violence,3.73,22.0,22.11,22.77,22.21,19.93,21.34,21.86,22.82,21.77,21.74,Decrease
270,Idaho,16,Neoplasms,-11.99,203.36,202.88,202.34,204.46,196.04,187.92,177.61,178.98,175.52,171.37,Decrease
271,Idaho,16,Transport injuries,-51.4,34.67,30.04,28.53,26.13,23.83,22.17,18.06,16.85,14.0,11.55,Decrease
272,Idaho,16,Neglected tropical diseases and malaria,69.12,0.04,0.04,0.03,0.03,0.04,0.07,0.07,0.07,0.08,0.08,Increase
273,Illinois,17,Neonatal disorders,-63.26,10.76,8.14,7.41,5.8,5.46,5.24,4.46,3.95,2.5,1.63,Decrease
274,Illinois,17,HIV/AIDS and tuberculosis,39.52,1.33,2.03,9.03,14.15,4.89,3.83,2.5,1.86,3.95,3.72,Decrease
275,Illinois,17,Musculoskeletal disorders,-3.34,2.84,2.9,3.03,3.28,3.49,3.29,2.81,2.74,3.04,3.04,Decrease
276,Illinois,17,"Diabetes, urogenital, blood, and endocrine diseases",17.53,47.88,49.49,53.27,57.31,60.35,59.88,56.19,56.28,61.25,62.62,Increase
277,Illinois,17,Digestive diseases,-29.95,20.03,19.61,18.71,18.0,16.87,15.84,14.52,14.03,13.07,12.15,Decrease
278,Illinois,17,Chronic respiratory diseases,39.03,36.23,39.15,41.59,47.45,50.46,50.98,49.58,50.37,55.49,57.66,Increase
279,Illinois,17,Neurological disorders,23.69,76.97,75.01,81.32,84.26,90.1,91.33,87.83,95.2,97.44,100.15,Increase
280,Illinois,17,Cirrhosis and other chronic liver diseases,-31.07,20.47,18.63,18.1,15.76,14.56,14.58,14.22,14.11,12.11,11.17,Decrease
281,Illinois,17,Mental and substance use disorders,211.94,3.72,3.84,6.49,6.07,7.73,9.14,10.77,11.6,12.75,13.93,Increase
282,Illinois,17,"Forces of nature, war, and legal intervention",-81.1,0.14,0.16,0.27,0.11,0.1,0.47,0.13,0.03,0.16,0.15,Decrease
283,Illinois,17,Unintentional injuries,-23.71,22.34,19.97,19.37,18.7,17.72,17.45,17.02,17.05,15.57,14.87,Decrease
284,Illinois,17,Nutritional deficiencies,-34.71,1.82,1.72,1.8,1.94,1.77,1.4,1.2,1.19,1.16,1.06,Decrease
285,Illinois,17,"Other communicable, maternal, neonatal, and nutritional diseases",-18.83,1.44,1.69,1.98,2.54,2.57,1.63,1.2,1.17,1.49,1.43,Decrease
286,Illinois,17,Cardiovascular diseases,-52.56,544.55,497.82,434.51,413.35,362.49,307.86,262.43,258.33,191.71,148.71,Decrease
287,Illinois,17,"Diarrhea, lower respiratory, and other common infectious diseases",-9.52,37.33,39.39,41.7,42.0,40.68,37.38,34.66,33.78,35.0,34.25,Decrease
288,Illinois,17,Maternal disorders,36.43,0.24,0.21,0.25,0.24,0.23,0.32,0.33,0.32,0.34,0.36,Increase
289,Illinois,17,Other non-communicable diseases,-46.16,10.89,9.95,9.38,8.18,7.14,6.61,5.94,5.86,4.53,3.76,Decrease
290,Illinois,17,Self-harm and interpersonal violence,-31.61,25.14,22.64,22.99,21.76,18.31,17.79,16.9,17.19,14.8,13.57,Decrease
291,Illinois,17,Neoplasms,-18.14,243.43,242.75,242.47,240.66,226.96,212.35,199.32,199.27,192.13,184.63,Decrease
292,Illinois,17,Transport injuries,-50.2,20.81,18.07,17.38,16.16,15.3,14.08,10.93,10.36,8.98,7.55,Decrease
293,Illinois,17,Neglected tropical diseases and malaria,36.28,0.03,0.03,0.02,0.02,0.03,0.05,0.05,0.04,0.05,0.05,Increase
294,Indiana,18,Neonatal disorders,-57.92,9.16,6.92,6.16,4.9,4.79,4.88,4.27,3.85,2.7,2.06,Decrease
295,Indiana,18,HIV/AIDS and tuberculosis,55.26,0.85,1.27,5.35,9.01,2.76,2.36,1.64,1.32,2.53,2.41,Decrease
296,Indiana,18,Musculoskeletal disorders,8.25,2.72,2.8,2.96,3.25,3.56,3.37,2.98,2.94,3.29,3.33,Increase
297,Indiana,18,"Diabetes, urogenital, blood, and endocrine diseases",29.39,51.51,53.14,55.62,61.08,66.88,68.6,64.67,66.65,72.18,74.66,Increase
298,Indiana,18,Digestive diseases,-24.2,20.37,19.92,19.02,18.56,17.76,16.91,15.77,15.44,14.63,13.88,Decrease
299,Indiana,18,Chronic respiratory diseases,68.95,41.17,45.39,48.89,56.34,64.22,66.99,67.46,69.55,77.39,81.81,Increase
300,Indiana,18,Neurological disorders,35.77,79.91,82.16,85.39,90.46,98.12,100.32,101.15,108.49,111.86,116.0,Increase
301,Indiana,18,Cirrhosis and other chronic liver diseases,6.88,15.16,14.67,13.74,13.58,13.73,14.9,15.87,16.21,15.64,15.84,Increase
302,Indiana,18,Mental and substance use disorders,544.11,2.33,2.65,3.34,4.22,6.3,8.85,12.5,15.01,15.29,17.15,Increase
303,Indiana,18,"Forces of nature, war, and legal intervention",-84.16,0.29,0.23,0.22,0.18,0.16,1.45,0.2,0.05,0.45,0.47,Increase
304,Indiana,18,Unintentional injuries,-10.11,23.46,21.55,20.24,20.1,20.31,20.86,20.73,21.09,20.05,19.82,Decrease
305,Indiana,18,Nutritional deficiencies,-15.47,1.87,1.94,1.97,2.16,2.17,1.76,1.53,1.58,1.62,1.56,Decrease
306,Indiana,18,"Other communicable, maternal, neonatal, and nutritional diseases",-7.27,1.36,1.55,2.04,2.56,2.66,1.77,1.26,1.26,1.65,1.62,Decrease
307,Indiana,18,Cardiovascular diseases,-47.01,525.12,485.25,430.38,406.85,374.75,320.83,280.94,278.25,221.17,184.14,Decrease
308,Indiana,18,"Diarrhea, lower respiratory, and other common infectious diseases",-3.76,34.4,35.16,36.77,38.57,36.11,34.19,32.63,33.11,33.41,33.03,Decrease
309,Indiana,18,Maternal disorders,99.39,0.18,0.17,0.23,0.26,0.24,0.33,0.35,0.35,0.39,0.42,Increase
310,Indiana,18,Other non-communicable diseases,-33.44,9.57,8.99,8.61,7.62,7.06,6.8,6.39,6.37,5.46,4.97,Decrease
311,Indiana,18,Self-harm and interpersonal violence,3.68,21.34,20.54,21.22,21.38,19.85,20.61,20.85,22.12,21.18,21.23,Increase
312,Indiana,18,Neoplasms,-11.12,239.57,239.53,239.16,241.67,232.15,222.34,210.62,212.93,208.8,204.14,Decrease
313,Indiana,18,Transport injuries,-42.02,24.42,21.67,20.88,19.58,18.78,17.97,14.8,14.16,12.83,11.46,Decrease
314,Indiana,18,Neglected tropical diseases and malaria,31.31,0.03,0.03,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,Increase
315,Iowa,19,Neonatal disorders,-64.04,7.0,5.19,4.46,3.46,3.38,3.34,2.8,2.52,1.51,0.96,Decrease
316,Iowa,19,HIV/AIDS and tuberculosis,11.92,0.56,0.77,3.24,5.49,1.49,1.19,0.74,0.63,1.24,1.12,Decrease
317,Iowa,19,Musculoskeletal disorders,30.84,2.53,2.7,2.93,3.32,3.76,3.65,3.28,3.31,3.77,3.9,Increase
318,Iowa,19,"Diabetes, urogenital, blood, and endocrine diseases",46.14,33.59,35.12,37.1,41.17,45.87,48.12,46.83,49.09,53.08,55.52,Increase
319,Iowa,19,Digestive diseases,-10.82,18.5,18.62,18.15,18.14,17.78,17.33,16.48,16.5,16.21,15.89,Decrease
320,Iowa,19,Chronic respiratory diseases,60.66,36.03,38.91,41.75,47.71,53.56,55.68,55.72,57.88,63.65,67.04,Increase
321,Iowa,19,Neurological disorders,8.97,88.76,90.12,90.81,92.47,95.16,99.32,98.03,96.72,100.54,102.01,Increase
322,Iowa,19,Cirrhosis and other chronic liver diseases,8.58,11.27,10.94,10.33,10.16,10.32,11.2,11.91,12.23,11.81,11.98,Increase
323,Iowa,19,Mental and substance use disorders,310.17,2.11,2.16,2.64,3.19,4.05,6.2,8.0,8.66,9.26,10.3,Increase
324,Iowa,19,"Forces of nature, war, and legal intervention",-77.9,0.22,0.21,0.17,0.15,0.16,0.92,0.17,0.05,0.3,0.31,Increase
325,Iowa,19,Unintentional injuries,2.89,21.92,20.52,19.57,19.69,19.87,21.17,21.88,22.56,21.77,21.96,Increase
326,Iowa,19,Nutritional deficiencies,-48.06,1.92,1.86,1.76,1.82,1.71,1.26,1.02,1.0,0.89,0.74,Decrease
327,Iowa,19,"Other communicable, maternal, neonatal, and nutritional diseases",-11.2,1.21,1.38,1.84,2.39,2.36,1.58,1.09,1.07,1.44,1.4,Decrease
328,Iowa,19,Cardiovascular diseases,-45.33,457.67,427.64,379.21,359.96,330.56,285.92,251.03,250.21,201.1,169.62,Decrease
329,Iowa,19,"Diarrhea, lower respiratory, and other common infectious diseases",-29.0,38.27,38.28,37.75,37.88,34.58,30.53,27.07,27.17,25.44,23.55,Decrease
330,Iowa,19,Maternal disorders,57.4,0.16,0.15,0.2,0.23,0.2,0.26,0.25,0.25,0.28,0.3,Increase
331,Iowa,19,Other non-communicable diseases,-27.08,7.86,7.49,7.32,6.59,6.14,6.09,5.78,5.73,5.15,4.82,Decrease
332,Iowa,19,Self-harm and interpersonal violence,-0.14,15.78,15.4,15.64,15.39,13.89,14.52,14.97,15.76,14.79,14.7,Decrease
333,Iowa,19,Neoplasms,-8.8,211.41,212.47,211.17,214.5,206.77,199.29,190.58,192.81,189.71,186.34,Decrease
334,Iowa,19,Transport injuries,-40.6,23.24,20.48,19.63,18.74,17.81,17.24,14.47,13.8,12.59,11.35,Decrease
335,Iowa,19,Neglected tropical diseases and malaria,46.55,0.03,0.03,0.03,0.02,0.03,0.05,0.05,0.05,0.05,0.06,Increase
336,Kansas,20,Neonatal disorders,-58.67,7.96,5.98,5.28,4.17,4.15,4.25,3.63,3.29,2.29,1.73,Decrease
337,Kansas,20,HIV/AIDS and tuberculosis,21.31,0.75,1.12,4.65,7.67,2.2,1.83,1.14,0.91,1.85,1.7,Decrease
338,Kansas,20,Musculoskeletal disorders,23.91,2.88,3.04,3.26,3.7,4.13,3.99,3.56,3.57,4.05,4.17,Increase
339,Kansas,20,"Diabetes, urogenital, blood, and endocrine diseases",38.63,40.59,42.45,44.53,50.5,56.05,58.22,55.36,56.28,62.34,64.97,Increase
340,Kansas,20,Digestive diseases,-20.04,18.98,18.75,17.96,17.87,17.26,16.53,15.36,15.18,14.64,14.06,Decrease
341,Kansas,20,Chronic respiratory diseases,56.07,40.56,43.96,47.16,53.92,60.6,62.58,61.88,63.3,70.41,74.0,Increase
342,Kansas,20,Neurological disorders,18.94,87.08,88.99,89.83,95.61,100.26,105.37,101.2,103.57,108.69,111.4,Increase
343,Kansas,20,Cirrhosis and other chronic liver diseases,27.41,13.23,13.17,12.72,12.89,13.39,15.01,16.26,16.86,16.78,17.35,Increase
344,Kansas,20,Mental and substance use disorders,321.21,2.73,2.86,3.46,4.11,5.81,9.21,10.46,11.49,12.6,14.01,Increase
345,Kansas,20,"Forces of nature, war, and legal intervention",-76.68,0.35,0.35,0.3,0.27,0.25,1.34,0.36,0.08,0.48,0.5,Increase
346,Kansas,20,Unintentional injuries,-6.54,24.34,21.97,20.56,20.5,20.63,21.65,22.69,22.75,21.66,21.62,Decrease
347,Kansas,20,Nutritional deficiencies,-31.42,2.38,2.46,2.41,2.63,2.63,2.0,1.68,1.63,1.67,1.55,Decrease
348,Kansas,20,"Other communicable, maternal, neonatal, and nutritional diseases",-17.48,1.38,1.54,1.97,2.52,2.56,1.72,1.17,1.14,1.52,1.47,Decrease
349,Kansas,20,Cardiovascular diseases,-42.66,448.91,420.03,375.83,360.23,334.92,289.17,255.98,257.42,211.78,182.66,Decrease
350,Kansas,20,"Diarrhea, lower respiratory, and other common infectious diseases",-9.83,36.1,36.62,37.78,39.02,37.02,34.55,31.72,32.55,32.4,31.67,Decrease
351,Kansas,20,Maternal disorders,102.6,0.17,0.17,0.23,0.27,0.25,0.35,0.35,0.34,0.4,0.43,Increase
352,Kansas,20,Other non-communicable diseases,-27.64,8.85,8.43,8.15,7.35,6.88,6.78,6.38,6.4,5.69,5.31,Decrease
353,Kansas,20,Self-harm and interpersonal violence,2.42,20.23,19.5,19.73,20.05,18.43,19.17,19.78,20.72,19.78,19.8,Increase
354,Kansas,20,Neoplasms,-6.99,211.25,213.43,213.83,219.08,210.97,203.65,193.84,196.48,194.96,192.1,Decrease
355,Kansas,20,Transport injuries,-37.13,26.31,23.53,22.6,21.31,20.68,20.1,17.55,16.54,15.38,14.11,Decrease
356,Kansas,20,Neglected tropical diseases and malaria,90.72,0.04,0.04,0.04,0.03,0.04,0.08,0.08,0.08,0.09,0.09,Increase
357,Kentucky,21,Neonatal disorders,-58.7,8.02,6.03,5.22,4.13,4.16,4.17,3.63,3.31,2.26,1.69,Decrease
358,Kentucky,21,HIV/AIDS and tuberculosis,7.41,1.23,1.52,5.32,9.05,2.83,2.3,1.54,1.32,2.36,2.19,Decrease
359,Kentucky,21,Musculoskeletal disorders,8.14,2.84,2.93,3.1,3.4,3.75,3.54,3.11,3.07,3.44,3.49,Increase
360,Kentucky,21,"Diabetes, urogenital, blood, and endocrine diseases",36.72,51.04,53.41,56.05,62.38,69.04,71.96,69.18,69.79,77.03,80.17,Increase
361,Kentucky,21,Digestive diseases,-17.46,21.32,21.22,20.34,20.07,19.64,18.88,17.71,17.6,17.0,16.43,Decrease
362,Kentucky,21,Chronic respiratory diseases,57.42,49.62,53.7,56.59,64.24,72.71,75.61,75.12,78.1,85.64,90.07,Increase
363,Kentucky,21,Neurological disorders,41.81,78.04,80.32,85.78,92.42,99.56,101.33,107.24,110.67,116.75,121.71,Increase
364,Kentucky,21,Cirrhosis and other chronic liver diseases,17.28,16.25,15.98,15.39,15.3,15.61,17.13,18.42,19.06,18.65,19.09,Increase
365,Kentucky,21,Mental and substance use disorders,584.31,3.2,3.57,4.41,5.72,8.48,13.92,18.99,21.9,22.84,25.69,Increase
366,Kentucky,21,"Forces of nature, war, and legal intervention",-78.58,0.32,0.32,0.25,0.21,0.23,1.29,0.28,0.07,0.43,0.45,Increase
367,Kentucky,21,Unintentional injuries,-15.33,28.77,25.98,24.3,23.68,23.63,24.36,24.43,24.36,22.88,22.42,Decrease
368,Kentucky,21,Nutritional deficiencies,-21.67,2.0,2.01,1.97,2.21,2.32,1.79,1.6,1.57,1.64,1.57,Decrease
369,Kentucky,21,"Other communicable, maternal, neonatal, and nutritional diseases",-10.62,1.53,1.74,2.22,2.9,3.02,1.98,1.37,1.37,1.82,1.78,Decrease
370,Kentucky,21,Cardiovascular diseases,-44.44,536.01,499.51,443.46,420.5,397.22,342.75,299.19,297.78,244.13,208.48,Decrease
371,Kentucky,21,"Diarrhea, lower respiratory, and other common infectious diseases",-6.41,42.87,44.11,44.53,46.68,45.15,40.5,38.86,40.12,39.69,38.98,Decrease
372,Kentucky,21,Maternal disorders,65.88,0.21,0.19,0.25,0.28,0.25,0.34,0.35,0.34,0.38,0.4,Increase
373,Kentucky,21,Other non-communicable diseases,-29.93,10.29,9.76,9.45,8.43,7.85,7.71,7.23,7.21,6.35,5.87,Decrease
374,Kentucky,21,Self-harm and interpersonal violence,-3.77,23.26,22.37,22.66,21.96,20.27,21.1,21.54,22.38,21.05,20.85,Decrease
375,Kentucky,21,Neoplasms,-4.63,251.19,254.42,255.55,261.07,253.68,245.01,234.91,239.55,237.74,235.15,Decrease
376,Kentucky,21,Transport injuries,-22.78,26.73,24.45,24.72,24.32,24.16,24.41,21.16,20.64,20.6,19.88,Decrease
377,Kentucky,21,Neglected tropical diseases and malaria,6.04,0.04,0.04,0.03,0.02,0.03,0.05,0.04,0.04,0.04,0.04,Increase
378,Louisiana,22,Neonatal disorders,-54.66,10.45,8.05,7.19,5.82,5.89,6.05,5.2,4.74,3.59,2.9,Decrease
379,Louisiana,22,HIV/AIDS and tuberculosis,274.91,1.37,3.2,12.3,20.46,8.94,8.08,5.42,5.13,8.82,8.98,Increase
380,Louisiana,22,Musculoskeletal disorders,-5.97,3.25,3.33,3.47,3.76,3.98,3.69,3.12,3.06,3.38,3.36,Decrease
381,Louisiana,22,"Diabetes, urogenital, blood, and endocrine diseases",12.09,71.76,73.28,76.07,83.38,88.83,88.79,80.55,80.44,87.93,89.6,Increase
382,Louisiana,22,Digestive diseases,-33.14,21.55,20.81,19.48,18.78,17.74,16.5,14.84,14.41,13.2,12.13,Decrease
383,Louisiana,22,Chronic respiratory diseases,60.46,36.76,40.17,43.37,49.44,55.39,57.56,57.32,58.99,65.4,68.86,Increase
384,Louisiana,22,Neurological disorders,67.58,65.85,72.53,76.35,85.16,94.38,108.64,103.77,110.36,120.37,127.2,Increase
385,Louisiana,22,Cirrhosis and other chronic liver diseases,-3.09,19.71,18.72,17.38,16.68,16.73,18.25,18.72,19.1,18.08,18.06,Decrease
386,Louisiana,22,Mental and substance use disorders,377.19,3.24,3.5,4.1,4.85,7.57,12.0,13.28,15.44,16.61,18.52,Increase
